,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; http://www.guru3d.com/article/radeon-hd-5770-review-test/13 actually, in the tests that these guys performed, they found that they&acute;re about equal. and sure, they might cost a little more than the 4870s but they&acute;re also smaller and use less power. and most people fail to realize that dx11 cards will really shine when dx11 games hit the shelves. the people that bought a dx10 when they could&acute;ve got a dx11 card will be kicking themselves in the ... next year...",2,,,
"yeah, whatever happened to oled tv&acute;s being released 2 years ago with cheaper price tags than lcd? i saw on tv that they hit a brick wall, and that the life of oled&acute;s didn&acute;t grow like expected. i haven&acute;t read much new tech news recently though. i may do that later today. but as for 3d ready displays, plasma tv&acute;s are dirt cheap now, and most of them are atleast 240hz....6 years, 8 days ago",2,,,
"&acute;&acute; at ten feet away, a 21.5&acute; 1080p display is obviously sharper than any lower resolution display. according to that chart, i would need a 55 - 80&acute; 1080p tv to see the difference at ten feet! that is utter bs. if someone can&acute;t tell the difference between 480p and 1080p on a 21.5&acute; display from ten feet away, then they need glasses. not trying to be an ass btw, just pointing out the obvious.",3,,,
"mass effect - awkward/lesbian? sex with aliens + the games kickass story halo3 - finishing the fight on legendary solo and actually opening the game after launch,........ and now getting replacement due to crappy special ed case bioshock - kicking ryans ass with the golf club (awsomeness) assasins creed - straight up killin people cause it looks so damn good cod4 - teh nuke, guile up mission, the ending, mile high club mission, multiplayer radness",2,,,
"&acute;&acute; until he proves he can do it in the playoffs which he hasn&acute;t yet kobe>lebron lebron has no excuses now that he has good teammates, i&acute;ll be laughing my ass off when the celtics knock them out again :lol: :lol: yeah 6 of 24 shooting in game 7 is doing it in the playoffs. michael jordan once shot 9-25 in a game 7, no one says anything. guess he doesn&acute;t get it done either",3,,,
&acute;&acute; you can change the controls from one of several different presets. i actually don&acute;t remember what the default set has l1 do because i always changed it to a different set because the default had l2 be aim r2 fire and i switched it so that l1 was aim and r1 was fire. if i remember correctly l1 on defult was either throwing grenades or using your class skill. thank you very much :),1,,,
"&acute;&acute; i need to find me a copy of xenogears to see what all the fuss is about :p and chrono trigger and cross. has anyone played grandia? i&acute;ve heard good stuff about it and its on the psn store. ...you haven&acute;t played chrono cross? or chrono trigger? ...what!!!! you disgust me. lol, i noi no i suck :(:p..its so rare to find a copy :(...but i might buy the ds version for xmas :d",2,,,
i can&acute;t believe it&acute;s been 6 years since the attack. i was drinking cans of beer on a tokyo bridge when my mate&acute;s girlfriend called him to tell him one of the towers had been hit by a plane. we assumed it was a small scale accident but when i got home i realized the seriousness of it and couldn&acute;t take my eyes off the tv. to this day i still find the footage unbelievable.,2,,,
"i just learned this recently. i&acute;m not partuicularly religious, but it&acute;s a fairly interesting thing to know. god is not against the homosexual orientation (meaning its ok to like guys), but he is against homosexual acts. so it&acute;s all good for him to be gay just don&acute;t go around doing gay stuff with other gay guys, says the vatican. why do i know this? well...we have a religion class that&acute;s mandatory, specifically the christian religion.",2,,,
"&acute;&acute; well i dont mind, as long as she isn&acute;t arrogant like i used to be meh just leave her be, i poked that fire alot of times. shes just better off ignored and if you dont agree with what she says just let it go yeah, best thing to do... well coming from her, tbh, you didn&acute;t sound especially comforting whicker. i may never know what really happened, but that was one unnecessary arguement:|",2,,,
"&acute;&acute; i have no idea how the female mind works?...lulz.....you have no freakin&acute; idea what the hell you are talking about....have you ever gone to a new years party...a real new years party?...women randomly kiss guys all the time.....sometimes people on here or so damn dense... yes, i&acute;ve actually thrown ragers myself on new years and that never happens man, you gotta play the game no matter how easy or hard she is to get.",3,,,
"&acute;&acute; pah! yeah, right. i quit 8 or so months ago and i&acute;ve never even considered going back. the game is a waste of time after you hit 60 (well, 70 now). why bother going back? getting to 60 means you still got much more gameplay out of the game than you get with most games. what game isn&acute;t a waste of time? it&acute;s not like there&acute;s many games that are actually productive in life.",3,,,
"&acute;&acute; pah! yeah, right. i quit 8 or so months ago and i&acute;ve never even considered going back. the game is a waste of time after you hit 60 (well, 70 now). why bother going back? getting to 60 means you still got much more gameplay out of the game than you get with most games. what game isn&acute;t a waste of time? it&acute;s not like there&acute;s many games that are actually productive in life.",3,,,
[quote=&acute;panzer_zwei&acute;][quote=&acute;-zaku-&acute;] &acute;&acute; you mean war of the grail or something? that&acute;s more like dynasty warriors style. yeah well i miss capcom fighters. i was always waiting for another capcom vs game but it never happened and i don&acute;t think it ever will again. marvel vs capcom? capcom vs snk? why the hell has there never been a marvel vs dc game....? :? that would have been a great fighter. spiderman vs superman :o spiderman,2,,,
"holocausts victims weren&acute;t really military casualties, they were killed for the sake of genocide; where as other civilian casualties were from being caught in the cross fire of military operations or being targeted as enablers of the enemy war machine. plus, the holocaust and world war ii weren&acute;t exactly directly related. clearly, they are linked, but world war ii was over the expansion of germany into europe, not the genocide of the jewish people.",2,,,
"[quote=&acute;tjeremiah1988&acute;][quote=&acute;-sun_tzu-&acute;][quote=&acute;tjeremiah1988&acute;] to silence people who believe a missile infact hit the building? why should the government care about fringe conspiracy theorists? z. i dont know why but stop asking me why. i think it would be better if they just release after all these years so people can stop asking. well don&acute;t hold your breath. the government is under no obligation to release said videos, unless of course the necessary search warrant is acquired.",3,,,
"alright, so my dad confirmed that he&acute;s getting me 3 games on steam for christmas: cryostasis, dirt 2 and torchlight. i&acute;m excited for all of these games, however, i honestly don&acute;t know which to play first :s any suggestions, and should i play one after the other, making sure i finish them, or should i play them all at the same time? this is going to be one hell of a holiday season xd",1,,,
&acute;&acute; i&acute;m not understanding what it is exactly that you&acute;re trying to get across to him when he said he doesn&acute;t road rage. why is life going to kick him in the ass unmercifully? for not having road rage? why is life going to kick him in the ass unmercifully?! because life is a *****. i&acute;m here if you have further questions. life is only like that if you don&acute;t engage in road rage?,3,,,
"&acute;&acute; how the hell are you confused? did my title or post say anything about black people specifically? it&acute;s a thread displaying ignorant behavior for materialistic endeavors which inevitably incites further ignorance from within this forum. so don&acute;t get confused over one or two people&acute;s idiotic comments that sticks out in your mind the most. i supposed though that if you really had to ask, then there might not be any hope for you.",3,,,
"&acute;&acute; funny. i liked both series but i&acute;d have to say the one with the liger zero was the best. the green version was my favorite. but that&acute;s enough staying on topic. are you trying to get flamed? honestly, it&acute;s not a francies that i would die if my console didn&acute;t get. if the next ff and dbz: burst limit games didn&acute;t come out for ps3 then i would throw a **** fit. [img]",1,pos and neg,,
&acute;&acute; that is what conspiracists claim....it&acute;s not fact. wtf the scientist tested the ruble from 911 towers and they found active nano termite and they brought there facts to the news.............wow dude everyone know 911 was an inside job......even dick cheney was caught talking about false flag terrorism against iran a few months ago. this &acute;scientific&acute; study hasn&acute;t even been subject to peer-review. there is no reason to accept this &acute;breaking news&acute; as fact.,3,,,
"&acute;&acute; these displays suck bawls... there are people with dlp projectors, plasmas and 120hz+ lcds in here. who u kidding dog? -_- wow you r an idoit. care to elaborate on that mac-c-the_wimp? it&acute;s all a matter of perspective, i&acute;m not coming in here saying omg mofos crysis on 100&acute;&acute; 1080p 65000:1 contrast with 3000watts ddl yo! so, be more gentle to us all and we might just take interest in your fun time.",3,,,
"&acute;&acute; lol here come the ass kissers. how long will it take until people learn they cant get laid through the goddamn internetz!? exactly...once a girl posts a picture of themselves in any of these post a picture of yourself topics i leave....it always ends up being an asskissing fest......the girl doesnt even have to be close to good looking either i agree, it gets turned into a massive flirt-fest, it can get annoying",3,,,
"&acute;&acute; says who, you? i&acute;d like to see an announcement from anybody even remotely affiliated with blizzard saying that, &acute;single-player is not the way their games are meant to be played.&acute; although it does beg the question, if single-player was never the way blizzard games were meant to be played then why have all of their games (up until now) had single-player portions? seems like an awfully big waste of resources for something so...frivolous.",3,,,
"&acute;&acute; ok that still doesn&acute;t mean that the vast majority of people feel ripped off. yeah, i&acute;m with you. i completely felt ripped off by fo:3 too. i felt like i spent $50 on what was essentially a gun mod for oblivion. nv, while neither perfect or the fallout game i really want, at least (somewhat) returned the series to its rpg roots and that alone made it a huge improvement in my eyes.",3,,,
"i wouldn&acute;t. it&acute;s one of the few games i regret buying. i&acute;d heard so much good (hype?) so, like a sucker, i bought it during a steam sale for about $12. i played for about an hour or two and then promptly deleted it. i honestly think i would have gotten more enjoyment had i simply set my $12 on fire and watched the pretty colors burn. not my kind of fps at all.",3,,,
"i went to an atreyu concert... or should i say, i went to a mosh pit. they totally suck live, no one cared about the damn music in the first place, and the band pretty much prevoked the mosh 10 seconds into the concert saying &acute;lets see some f%$king broken bonesssssss!&acute; hated it, i came out fine but my friend came out witha huge scar down his face, blood everywhere (looked like squalls scar).",3,,,
"in terms of controls, halo is better because it doesn&acute;t waste time with motion controls. in terms of single player, metroid wins by a mile. in terms of multiplayer, halo wins cuz it has it, and it has it well. 2/3 for halo 3, winner is it. albeit, i got metroid 3 and getting a ps3 to play cod4 because its just as good as halo, but is more cinematic in quality thus better.",1,,,
"&acute;&acute; :lol: yea right... no kidding. just because you go to school, doesn&acute;t guarantee you a job making 60 bucks an hour. i was just saying $20 isnt even a lot.....what the hell would you choose to miss out on a chance of a lot more money by going to school??? it doesnt make sense to me.... oh and by the way....im not sure if youve already seen this....but chris farley has been reincarnated",3,,,
"i want mgs4 the most but june is an extremely convenyent month for me. as in, if i got it now, i probley would get many chances to play until june. i got an mma camp that gives us the month of june and part of july to hit home in other states and places. ill just pick up gta and mgs4 and play the life outta those before i head back in mid-july",1,,,
"yeah, i decided to start typing in black. anyway. they call this device the &acute;rocket wing&acute;. it doesn&acute;t really look like a jetpack that you see in games, and movies. it has an eight foot wing spand, and uses turbines(whatever the hell those things are). it can also reach speeds as high as 186 mph. heres the link: http://news.aol.com/story/_a/man-soars-over-alps-with-rocket-wing/20080515072509990001?icid=100214839x1202289149x1200084859 hmm. i wonder who&acute;s going to be the first person in a &acute;rocket wing&acute; crash.:question:",2,,,
"&acute;&acute; *shrug* i&acute;ve never noticed a problem with my matches. but there&acute;s a lot of factors that cause lag. i figured it had somethin to do with my connection but i notice on live that i always have full connection, and ive never been complained about with lag, but god i see it like crazy, and it really sucks shootin at someone jsut to have them magicly apear behind you and one hit you",3,,,
"&acute;&acute; thats not a mistake tho, you made the choice to cheat on the person you love and care about, thats no mistake, you did that for a reason how old are you, 12? no, old enough to have my heart ripped out and kicked around though, again cool if you are able to forgive and hope it worked out/works out for you, i just cant do it, for me thats no acceptable &acute;mistake&acute;",3,,,
"was jsut tryin to import a cd, and it keeps gettin to 91% on the first song and then stops and says error 80031208, all my other cds i tried worked fine with no errors, but as soon is id try to improt that one again id get the error, it plays perfectly fine right off the ps3 but it just wont import it, the hell is wrong with it and whats the error?",3,,,
"when you drop your pants to your ancles and &acute;step out of them&acute;, know how the pants remain on the ground? when i go to bed and take off my pants i never want to leave my pants like it on the floor. i shuffle them so that they just lie there randomly.. also, on forums or other texting i hate to write i&acute;ll as ill because i think it will make ill. :?",2,,,
"&acute;&acute; what kind of motherboard do you have? you could likely get a nice cooler and overclock the hell out of the cpu that you already have. overclocked, it would last you quite some time still. oh, and have you checked out nibitor yet? you can use it to increase your gpu voltage without even touching the video card. my cards were maxed out @1.15v already, so i had to do some soldering =\",2,,,
"i bought a new case and cpu cooler, but my video card has been broken for a while now. a resistor broke off the back, and now it won&acute;t overclock. since nobody seemed to be able to help me fix it, i bought a 512mb 7950gt ko to replace it. not bad for $100 if ya ask me. hopefully after i add a koosah and vmod it, i&acute;ll be able to hit atleast 800/1650...",2,,,
"&acute;&acute; actually, it just adds blending passes to the model edges.... only multisampling. supersampling, in contrast, renders the scene internally at a higher resolution, and then downsamples it to the output resolution. supersampling is by far the best method of anti-aliasing in terms of image quality, but the performance hit tends to be massive. as such, it&acute;s not used much; multisampling is much more common. sweet, it&acute;s always good to learn something new ;)",1,,,
"mass effect does have frame rate dips, sudden texture popups, and ai that has its own issues, but still, learn to live with it and youll have a blast, me says game kicks ass %100 (2nd play through vangaurd), oh and mass effect is scheduled to be a trilogy so they gots lots of time tomake things perfect, another thingwhats with the fan mission, how do you find the guy again to kickstart it",1,,,
"i don&acute;t mind her. her songs get overplayed at times, and i&acute;m not a big fan of her music, probably wouldnever purchase her album. good music to dance to or party to, not something i&acute;d listen to when i&acute;m alone though. as for her looks, sometimes she&acute;s pretty hot, other times not so much, she&acute;s hit or miss lookswise. and her sense of style is pretty weird, but at least she&acute;s unique i guess.",1,,,
"&acute;&acute; i dont want to put in such harsh terms, and ill probably get modded for it for reasons i wont go into....but i digress. anyway, you sir, are an elitist ass and dont deserve to interact with any human with that kind of attitude. its the average joe that should look down upon you because of your snobbery. amen. if you&acute;re going to get moderated for this, then i might as well too.",3,,,
"dump her. she already stated that she&acute;ll end up doing it again (&acute;it&acute;s in my nature, i can&acute;t help it&acute;), so why delay the inevitable? she obviously puts her own feelings of lust above your own emotions, and she has already made this clear by flirting with another man. those tears were shed because she knew she was caught, not because she was sorry. dump her, and spare yourself the waste of time there-of.",3,,,
"&acute;&acute; you&acute;ll get alot of ape-sh** about it. especially from those who are gay and those who support it. i don&acute;t care if two people are gay and love each other, that&acute;s fine, let them live. but if you start forcing your opinion down the throats of those who are totally against it(am i starting to become hypocritical?). i disagree, opposition to homosexuality is equal to racism and sexism, and must be rooted out.",3,,,
"well, considering i&acute;m still attending school, i suppose my &acute;intermediate&acute; school (3-6 graders, i was in 6th, couple of years ago), a jet shot up our plan on accident. stupid base miles off of our school, stupid new jersey. :mad: but not real? a rumor going around in my school a kid had a gun and was going to shoot up random people, and had a hit list. was true at some time apparently.",3,,,
"well, considering i&acute;m still attending school, i suppose my &acute;intermediate&acute; school (3-6 graders, i was in 6th, couple of years ago), a jet shot up our plan on accident. stupid base miles off of our school, stupid new jersey. :mad: but not real? a rumor going around in my school a kid had a gun and was going to shoot up random people, and had a hit list. was true at some time apparently.",3,,,
"&acute;&acute; watch the zeitgeist, loose change: 9/11, hundreds of local news reports, research tower seven, and tell me that it all happened because of an airplane, and tell me the pentagon was actually hit by a plane despite videos being confiscated by the fbi. live in your dreamworld that governments don&acute;t use false-flag attacks... zeitgeist? loose change? really? haha. you&acute;re ignorant for not watching them, prove anything in there wrong and please just stop.",3,,,
"&acute;&acute; hmmm, the religious savior of the world&acute;s largest religion vs. an internet meme. i&acute;m not sure that&acute;s a fair fight. dare i ask... for who? haha, you know, i was pondering the same thing when i hit submit. if it was 2007, i would give it to the meme, handily... but now that it&acute;s almost 2009 i&acute;m not so sure. gotta go with jesus... but it would be a fight for the ages.",2,,,
hardcore servers mean you&acute;ll die quicker. also make sure you play on punkbuster enabled servers because there&acute;s a hell of a lot of cheaters in bf3. pick a server with low latency to you as well. even if you do all of those you&acute;ll still die from bullets behind walls because when you move behind cover your hitbox is still standing where you were 1 second ago. apparently they&acute;re fixing it though. we&acute;ll see...,2,,,
hardcore servers mean you&acute;ll die quicker. also make sure you play on punkbuster enabled servers because there&acute;s a hell of a lot of cheaters in bf3. pick a server with low latency to you as well. even if you do all of those you&acute;ll still die from bullets behind walls because when you move behind cover your hitbox is still standing where you were 1 second ago. apparently they&acute;re fixing it though. we&acute;ll see...,2,,,
it was buggy as hell and the combat was really badly implemented into the game. it was even badly supported after release and was patched by fans of the game. the engine was really badly utilised too. i actually installed it last night to try it again with the fan made patches but i had to uninstall it again because it kept setting the refresh rate to something completely absurd and out of range.,3,,,
"[quote=&acute;double_heist&acute;]one of the best rpgs ever. in fact the snes had most of the best rpgs ever (earthbound, ffiii(vi), ffii(iv), breath of fire series, chrono trigger, secret of mana, lufia series, etc.) the snes was loads better than the genesis for rpgs, this was one of the reasons to get a snes over the genesis. with that said though, the genesis did have its own titles, and with a sega cd, theres plenty there.",1,,,
"&acute;&acute; aww, man! you were really getting me hard, too :( i&acute;m really sad to hear that you hate both smokers and gay people! that doesn&acute;t make me very hard. no i don&acute;t hate homosexuals. i&acute;m just not one of them. should be simple to understand. oh wait that&acute;s right you&acute;re not as smart as you act. i need to remember that. thanks for the reminder bro hey, ask me if i&acute;m an orange!",3,,,
"&acute;&acute; i kid you not...last night someone brought their two little ones--about 4 years old--to the screening i went to about 10 minutes in. about three to four rows of people gave their parents nasty looks, that they wound up leaving a few minutes later. who the hell in their right minds brings their little kids to a movie like that?! i bet the tree-rape scene was very well received.2 years, 1 month ago",3,,,
"&acute;&acute; wouldn&acute;t south korea also be effected by our response/their defenses as well? yeah, and unlike the imaginary nukes that north korea says can hit the us, they do actually have quite a lot of artillery aimed directly at seoul. war with north korea would be a tragic mess. fortunately though this is probably nothing more than saber rattling. kim jong-un probably just wants michael jordan to visit so he can get his autograph.",3,,,
"i have about 30 games currently on my pc (not including the oldies for dosbox). i haven&acute;t seen any performance hit on my pc since most games don&acute;t start anything up on boot up. i must admit i have tons of partitions on my many hds (200gig, 120gig and 320gig divided on 14 partitions) and i always install my games on other partitions than the one i use for windows xp or vista.",2,,,
"its nothing but pain and suffering in hell. demons are constantly fighting wars and harming each other,(kinda like here on earth, middle east) you will experience great pain there, more painful then any physical pain here on earth. sayng that only dark souls go to hell, all light spirits go to heaven. when you die no matter what you do in this life you go back to the realm from which you came.",3,,,
"&acute;&acute; she doesn&acute;t deserve half his fortune. it&acute;s as much hers as it is his. why is it that she&acute;s a greedy bitch for asking for what she&acute;s rightfully entitled to? why is he not greedy for lying about the value of the team so that he could profit more than was his right? its his team not hers. if she wanted half she should have stayed with him.2 years, 1 month ago",3,,,
"&acute;&acute; this is ammusing. many fathers have shoved [sport] balls into their sons&acute; hands, taken them to the hockey game, and watched hours of sylvester stallone films with them, and they still &acute;unfortunately&acute; ended up coming out the closet. i take offense into the belief of a gay environment. i certainly hope people aren&acute;t out there thinking &acute;hmm, i bet he was raised near one of those gay areas.&acute; i am heterosexual afterall.",3,,,
"&acute;&acute; anyone is included, i think we&acute;ve hit about 6, so i will add a list soon. btw, if you have not added me as onto your friends list, i suggest that you do so it&acute;s easier for me to invite you. (gt: last enemy.) there&acute;s a good chance you might get a message from last enemy saying he wants to be your friend. but i&acute;d go with the first one instead. :p",2,,,
i&acute;ve owned every madden dating back to 2002 and this is the first year i&acute;m not going to buy it. the last 2 years games have sucked with the focus being on new gimmicky features that no one wants. the only real new features that they&acute;ve ever made that was actually good are playmaker controls and the hit stick. but i did rent madden 08 from gamefly and i&acute;ll be getting it soon.,3,,,
"&acute;&acute; with the caveat: in the economy. some things aren&acute;t related to the economy, as i already listed. everything in life has some sort of economic relation. there is a market for police force, there is a market for fire protection, there is a market for ambulatory services (and they charge a pretty penny for it), there is a market for diplomacy, there is a market for military power (see: private military contractors).",2,,,
"&acute;&acute; then instead of taking it out on us, then why dont you just lock them? because we do not always see or are notified about them right away. and by posting in them you are bumping them up and keeping them on the top. but yet as soon as i put a my side of a marijuana argument it gets deleted as soon as i hit submit. :roll:6 years, 1 month ago",3,,,
"&acute;&acute; doug was bought by disney after a few seasons and they totally botched the formula. they changed patty mayonaise&acute;s hair, skeeter&acute;s voice, etc...since then, i think they haven&acute;t been able to show the original ones either. :( i remember those, and i remember a hell of a lot of quail man in that version too for some reason. :| at least season 1 and 2 are on dvd.6 years, 8 days ago",3,,,
"&acute;&acute; neither. both are horrible, horrible games. but if you have to choose get fc2, it gets really boring fast and its really really repetetive. oh and it has some really annoying &acute;features&acute; in it. the driving mechanics suck and the online is one of the worst ive played in my gaming history. even haze was a better game. fc2 is still better than fallout 3 which is just bad, even more overhyped.",3,,,
"&acute;&acute; and celibacy. it&acute;s like gene&acute;s cause certain people to think in certain ways so babies won&acute;t be made. no it&acute;s not a joke thread and i too have thought that maybe homosexulaity is natures way of controlling the poplulation too..... what percentage of people are gay something like 10%, right? and besides, gay people still have kids. how the hell is a gay gonna have a kid?? the same way straight people have kids. um.....i think you should have a chat with your parents.",3,,,
"&acute;&acute; i understand money is hard to come by because i&acute;m poor as hell right now, but by the time re5 comes out you will be able to buy a 360+re5 for around $250. save .50 cents a day starting tomorrow and you&acute;ll get there. that would make the 360 $190. if re5 comes out in 2012 (which it won&acute;t), i&acute;m sure 360 will be that much. re5 won&acute;t be out until fall 2008/spring 2009, you don&acute;t think the core will be $200 by then?",2,,,
"[quote=&acute;neildneil&acute;] street fighter iv. oh my god this game is definitely down to skill as i lost 36 games online before i finally won one. also codmw2 i don&acute;t think is very skillful as on the few occasions i&acute;ve played online, i&acute;ve done pretty well, even winning once or twice, and i suck at shooters... and i really mean suck. thats not really skill as most sfiv players have their lil unbreakable move sets they use over and over, thats not skill thats just retarded",3,,,
"[quote=&acute;sorax64&acute;][quote=&acute;-eddy-&acute;][quote=&acute;sorax64&acute;] 64 is my second favorite number! :p holy crap! it just hit me...my favorite number, 32, is half of my second favorite number, 64! :o :o how do you feel about 16? how about 128? your age and internet connection? :p idk, they could be :? i&acute;m only 14...:p i love 64 because of the n64, and 32 is my favorite because i&acute;m just a stalker like that and that is the &acute;size&acute; of the girl i love. :p haha, ok i see. :lol:",1,,,
"&acute;&acute; i wouldn&acute;t think that nothing would be proved by going to the center of the earth aside from the fact that it&acute;s hot. is that not the only requirement for hell? or should we expect a welcomed dinner by a few demons? no. but we were starting from the hypothesis that hell was to be found by digging to the center of the earth. seriously, i could never believe hell to exist in the middle of a planet. it cannot be concrete like that.",2,,,
"&acute;&acute; why not cali? :( now i&acute;mma be 3 hours ahead of your ass haha. which island are you gonna be at? well my bro lives out there with his fiancee, about seriously 2 blocks from the beach. he asked me if i wanted to stay with him for awhile and i said why not. he lives on oahu. it&acute;s gonna be awesome. i hate where i live right now, especially since it&acute;s been in the teens lately and there&acute;s nothing but ice and snow.",2,,,
"j dilla-donuts gang starr-daily operation d&acute;angelo-voodoo, brown sugar cap&acute;n jazz-analphabetapolothology jeru the damaja-the sun rises in the east mobb deep=the infamous modest mouse- this is a long drive, the lonesome crowded west nas-illmatic neutral milk hotel-in the aeroplane over the sea biggie-ready to die oh no-dr. no&acute;s oxperiment onyx-bacdafucup organized konfusion-stress: the extinction agenda scarface-mr. scarface is back showbiz & a.g.-goodfellas slum village-fantastic vol 1 smif-n-wessun-dah shinin&acute; stevie wonder-innervisions sublime-sublime atcq-the low end theory ugk-ridin&acute; dirty ultramagnetic mc&acute;s-critical beatdown willie hutch-soul portrait my personal favorites",2,,,
"&acute;&acute; lmao. tht&acute;s funny as hell man. but yet seems a bit cruel to me to embarass her lik tht on live tv. trick deserves it imo.... lawl, that was so mean. paris hilton looked like she was about to cry. sarah silverman is hawt imo :-* ***** know one can ever agree with me on this. people don&acute;t think she&acute;s hawt? smh, ridiculously high standards ftl. only one of my friends think she&acute;s good looking besides me:? i don&acute;t think she&acute;s funny, but iwhi.",2,,,
"as a lakers fan, their play as of late is very concerning. the players around kobe haven&acute;t played well, and overall the lakers are sloppy as hell defensively at this point. but on the bright side, they are still 21-5, and it&acute;s still only december. there is alot of time left to work out their defensive issues, which i think is the main weakness of the lakers. you get that defense fixed up a little bit, you have a team that can challenge the celtics.",1,,,
"the heat are terrible cus they don&acute;t wanna work hard to become a good team. that&acute;s why they don&acute;t want riles to come back, cus he&acute;ll whip their asses into shape. team is a joke and i love it. lebj always has an excuse. first it was he had no teammates even though he won 60 games with them and now he&acute;s on a team with all nba performers and everyone wants to blame the coach. i wish he would just shut the hell up.",3,,,
"&acute;&acute; here we go with the crystal ball predictions again.... anyways, lakers played like crap in that second quarter. once the second unit came in it ****ed up all the good things we had going and we never recovered from it. they&acute;re lucky to be tied. i can&acute;t believe we couldn&acute;t stretch the lead with yao on the bench with 3 fouls. ariza is playing like a scrub and idk why the hell luke walton is in the game at all.6 years, 30 days ago",3,,,
"&acute;&acute; i did break my knuckle cause i hit him in the head multiple times, i just want to know since my knuckle is broken, will people have the impression that i lost? it really only matters what people who were spectating the fight say. you may be the one person who&acute;s telling the fight how it actually happened, but it&acute;s your word against theirs, and numbers in high school always win. that&acute;s the side effect(s) from getting into a fight.7 years, 7 days ago",3,,,
"&acute;&acute; yeah the lead singer of the birthday massacre is said to be a candy goth. they like to wear goth skirts and striped sleeves where it looks like a candy cane. i&acute;ve dated candy goths before. i&acute;m a cyber goth. you said you never had a girlfriend >.> just because you date someone doesn&acute;t really make them your girlfriend. oh you mean it like that, i&acute;m too anti-social to &acute;date&acute; ^_^, just sounds like a waste of time too i don&acute;t go for flings.",2,,,
"[quote=&acute;loonie&acute;][quote=&acute;-karayan-&acute;][quote=&acute;-karayan-&acute;][quote=&acute;rahzel31&acute;] my reasoning is (im gonna get flamed for this) that it isnt natural to be gay its against human nature and the bible. im sorry if i have offended anyone not natural???? http://en.wikipedia.org/wiki/list_of_animals_practicing_homosexual_behavior care to comment at all? wow, homosexual insects. and to the tc, maybe he should go to the gay gamers union and ask this question. mind you, that have actually been documented. so people saw two insects going at it and checked to see if they were of the same sex.",2,,,
"[quote=&acute;fkid&acute;] but then i can flip the other way around and say that the rich are pissed that even though they worked hard to get where they are, the gov&acute;t still supports the the less unfortunate who did not try as hard. then again, it is soooooooooooooo much easier to bash the rich because simply there is more less fortuante than the rich, right? everyone who works their ass off does not automatically get rich you know. you have a very distorted view of capitalism.",3,,,
"&acute;&acute; why is it &acute;wrong&acute;? mostly just dude stuff.lol nah seriously... we cant change the way people are. so we can learn to deal with it or we can let it bother us.. i do wonder why someone just likes the same gender instead of the opposite or maybe both... that part gets me the most it&acute;s just something you&acute;re born with. people don&acute;t suddently decide &acute;lets be gay lets be shunned by society, lets become attractive to those i find icky at this moment.&acute;",1,,,
"live free or die hard is a much better movie. the bourne ultimatum is a good movie and all, but die hard was one the nicest surprises this year. it was one of the few movies this year that i left the theater thinking the movie was better than i thought it was going to be. and whats with all the camera shaking in the bourne ultimatum? i know they went for a realistic feel, but i was dizzy by the end of the movie.",2,,,
"&acute;&acute; i&acute;m not sure what you are asking. i thought it was straightforward. i dont know what gun culture is. i was pretty sure you could explain ah sorry, you said gun control at first. and gun culture itself is pretty straightforward. it is the culture surrounding guns. guns are very cherished instruments in america. there&acute;s a lot of enthusiasm surrounding gun ownership; you can join clubs with fellow gun owners, go to gun shows, ect. that glorification is not something i&acute;m very fond of.",2,,,
"&acute;&acute; so if you were in a car crash and half your guts were over the floor and the paramedics came to help you&acute;d just say &acute;no thanks&acute;? :| i have lightning fast reflexes, so the chances of that even happening are zero to none to begin with, nice try though. yeah but what if you use your &acute;lightning fast&acute; reflexes to dodge a car, but then *bam!* hit by a semi, and now you&acute;re cut in half, intestines spilled out, paramedics surround you......now what?",3,,,
"&acute;&acute; ...so what happens to the children if they don&acute;t &acute;repent&acute;? are they taken away from their parents and placed in a foster home? i&acute;m sure that would make everything better :roll:. how about, instead of exacerbating the issue, we allow divorced parents to raise their children, and we allow gay couples who are willing to be parents to adopt children that are in need of some solidarity in their life, rather than just moving from foster home to foster home.6 years, 28 days ago",3,,,
"&acute;&acute; these kind of threads really piss me off sometimes. i mean, why the hell would you care? you make it sound like you&acute;re &acute;superior&acute; in some way, just because you&acute;ve had sex. oh and fyi, there&acute;s more to relationships than just sex. thought i was the only one on gamespot who had a ******* brain. paparazzi00 is just a stupid immature spammer. you two need to loosen up! you need to open your eyes to the fact that paparazzi00 is 10 years old :|",3,,,
"&acute;&acute; well i&acute;m an agnostic. i personally believe that when you die you go to a unified afterlife, if that makes sense. i don&acute;t believe in a &acute;heaven&acute; or &acute;hell&acute; just a place where everyone goes when they die. there is so much evidence out there to support and afterlife but not enough to say what it is or what its like. what evidence do you speak of? i, personally, don&acute;t worry about what happens after death because there is no way of knowing.",2,,,
"&acute;&acute; what about you? would you brave the elements, or use your wits to save micah? hmmm, if i were living for only myself, i think i may die...but knowing that i&acute;d be doing it for my son can give someone incredible strength and determination. once you&acute;re living for someone or trying to save someone you love, human beings can become unstoppable machines. so, if it were for my son or someone i love, i&acute;d die trying...no matter what torture i was put through.",1,,,
